2016-05-31T16:45:00+02:00;0087271007;Paris Gare du Nord;48.0;5.0
2016-06-01T15:07:00+02:00;0087686006;Paris Gare de Lyon;58.0;2.0
2016-06-01T15:11:00+02:00;0087391003;Paris Montparnasse;64.0;4.0
2016-06-09T10:18:00+02:00;0087444315;Serquigny;51.0;0.0
2015-05-22T15:38:23+02:00;0000313874;Amiens;55.0;11.0
2015-05-22T08:20:59+02:00;0000313874;Amiens;61.0;7.0
2016-05-31T16:31:00+02:00;0087481002;Nantes;67.0;2.0
2016-01-06T11:56:00+01:00;0087751008;Marseille Saint-Charles;81.0;13.0
2016-03-25T12:10:00+01:00;0087271007;Paris Gare du Nord;43.0;6.0
2016-01-07T15:42:00+01:00;0087391003;Paris Montparnasse;59.0;4.0
2016-01-07T16:56:00+01:00;0087411017;Rouen Rive Droite;67.0;4.0
2016-01-08T11:29:00+01:00;0087611004;Toulouse Matabiau;87.0;3.0
2016-01-11T11:32:00+01:00;0087686667;Paris Bercy;71.0;5.0
2016-04-22T16:18:00+02:00;0087276691;Compiègne;64.0;2.0
2016-04-23T09:49:00+02:00;0000313874;Amiens;68.0;1.0
2016-01-07T09:45:00+01:00;0087713040;Dijon;100.0;9.0
2016-04-22T17:21:00+02:00;0087571000;Tours;78.0;3.0
2015-06-11T08:53:48+02:00;0087751008;Marseille Saint-Charles;46.0;12.0
2015-06-16T13:08:50+02:00;0087751008;Marseille Saint-Charles;47.0;5.0
2016-06-13T16:37:00+02:00;0087773002;Montpellier Saint-Roch;84.0;16.0
2015-09-07T11:59:47+02:00;0087271007;Paris Gare du Nord;59.0;11.0
2015-06-04T17:26:44+02:00;0087686006;Paris Gare de Lyon;36.0;6.0
2015-09-07T11:49:07+02:00;0087686006;Paris Gare de Lyon;42.0;3.0
2015-09-07T11:00:35+02:00;0087686006;Paris Gare de Lyon;51.0;4.0
2015-06-10T10:54:36+02:00;0087686667;Paris Bercy;47.0;5.0
2016-05-03T08:41:00+02:00;0087741009;Chambéry - Challes-les-Eaux;100.0;9.0
2016-06-03T11:54:00+02:00;0087757526;Saint-Raphaël Valescure;77.0;5.0
2016-05-03T14:09:00+02:00;0087319012;Aix-en-Provence TGV;89.0;21.0
2016-05-03T12:15:00+02:00;0087391003;Paris Montparnasse;64.0;5.0
2016-05-03T15:24:00+02:00;0087411017;Rouen Rive Droite;69.0;4.0
2016-05-02T10:26:00+02:00;0087686667;Paris Bercy;63.0;2.0
2016-04-29T19:23:00+02:00;0087781005;Béziers;75.0;3.0
2016-05-02T13:37:00+02:00;0087342006;Béthune;66.0;6.0
2016-05-02T08:27:00+02:00;0087171009;Reims;97.0;0.0
2016-05-02T11:19:00+02:00;0087345025;Lens;72.0;3.0
2016-04-23T10:15:00+02:00;0087762906;Lyon Saint-Exupéry TGV;95.0;7.0
2015-06-08T11:06:43+02:00;0087751008;Marseille Saint-Charles;45.0;19.0
2016-01-06T11:22:00+01:00;0087271007;Paris Gare du Nord;54.0;7.0
2016-01-06T11:00:00+01:00;0087686006;Paris Gare de Lyon;53.0;2.0
2016-04-24T07:55:00+02:00;0087611004;Toulouse Matabiau;90.0;2.0
2016-01-06T14:57:00+01:00;0087547000;Paris Austerlitz;60.0;12.0
2016-01-07T09:54:00+01:00;0087722025;Lyon Perrache;93.0;0.0
2016-01-08T08:46:00+01:00;0087747006;Grenoble;81.0;3.0
2016-03-25T12:10:00+01:00;0087755009;Toulon;84.0;5.0
2016-01-07T13:04:00+01:00;0087141002;Nancy;73.0;5.0
2016-06-02T10:17:00+02:00;0087755231;Ollioules - Sanary-sur-Mer;46.0;5.0
2016-01-24T10:29:00+01:00;0087611004;Toulouse Matabiau;85.0;2.0
2016-01-24T11:24:00+01:00;0087223263;Lille Europe;76.0;4.0
2016-06-03T07:26:00+02:00;0087318964;Avignon TGV;60.0;5.0
2016-01-25T15:32:00+01:00;0087212027;Strasbourg;90.0;5.0
2016-01-23T16:32:00+01:00;0087212027;Strasbourg;83.0;4.0
2016-01-24T09:19:00+01:00;0087192039;Metz Ville;56.0;1.0
2016-04-29T17:09:00+02:00;0087415604;Vernon;51.0;2.0
2016-06-02T10:56:00+02:00;0087775007;Nîmes;88.0;3.0
2016-06-03T09:28:00+02:00;0087673202;Dax;86.0;7.0
2016-03-29T09:19:00+02:00;0087484006;Angers Saint-Laud;87.0;11.0
2016-03-29T16:57:00+02:00;0087391003;Paris Montparnasse;61.0;3.0
2016-03-30T14:39:00+02:00;0087286005;Lille Flandres;54.0;7.0
2016-03-29T13:58:00+02:00;0087722025;Lyon Perrache;95.0;1.0
2016-03-29T08:06:00+02:00;0087396002;Le Mans;86.0;6.0
2016-03-29T14:44:00+02:00;0087471003;Rennes;66.0;3.0
2016-03-29T16:23:00+02:00;0087571000;Tours;78.0;2.0
2016-04-08T10:28:00+02:00;0087762906;Lyon Saint-Exupéry TGV;95.0;10.0
2016-04-07T15:07:00+02:00;0087751008;Marseille Saint-Charles;90.0;17.0
2015-09-29T10:35:52+02:00;0087686006;Paris Gare de Lyon;47.0;2.0
2016-04-07T10:23:00+02:00;0087686006;Paris Gare de Lyon;54.0;1.0
2016-04-06T12:00:00+02:00;0087581009;Bordeaux Saint-Jean;66.0;0.0
2016-04-07T16:41:00+02:00;0087391003;Paris Montparnasse;56.0;4.0
2016-04-06T11:41:00+02:00;0087611004;Toulouse Matabiau;86.0;3.0
2016-04-08T09:00:00+02:00;0087734004;Clermont-Ferrand;104.0;11.0
2016-04-07T08:55:00+02:00;0087191007;Thionville;96.0;1.0
2016-04-08T10:22:00+02:00;0087113001;Paris Est;81.0;4.0
2016-04-11T10:37:00+02:00;0087271494;Aéroport Charles de Gaulle 2 TGV;67.0;8.0
2016-04-11T16:20:00+02:00;0087751008;Marseille Saint-Charles;86.0;11.0
2016-04-12T11:04:00+02:00;0087271007;Paris Gare du Nord;55.0;8.0
2016-04-08T17:03:00+02:00;0087391003;Paris Montparnasse;67.0;5.0
2016-04-12T14:58:00+02:00;0087547000;Paris Austerlitz;72.0;8.0
2016-04-11T17:36:00+02:00;0087192039;Metz Ville;77.0;1.0
2016-04-13T09:23:00+02:00;0087194001;Longwy;20.0;0.0
2015-10-15T12:08:00+02:00;0000313874;Amiens;61.0;6.0
2016-04-11T16:25:00+02:00;0087141002;Nancy;87.0;5.0
